Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;441,718505859375;121,364356337581;441,7185;50;8;88;False
2;656;149,409689676575;656;70;7;153,5;True
3;656;149,768796541169;656;70;7;153,5;True
4;656;127,454932907596;656;70;7;153,5;True
5;656;157,010565533116;656;70;7;153,5;True
6;656;129,586067366973;656;70;7;153,5;True
7;656;128,157185221091;656;70;7;153,5;True
8;656;132,816827172041;656;70;7;153,5;True
9;656;148,75631041415;656;70;7;153,5;True
10;656;179,556536719948;656;70;7;153,5;True
11;656;107,420243027434;656;70;7;153,5;True
12;656;115,12640068233;656;70;7;153,5;True
13;656;150,193052190542;656;70;7;153,5;True
14;656;105,263535083737;656;70;7;153,5;True
15;656;140,570324638113;656;70;7;153,5;True
16;656;159,307608631253;656;70;7;153,5;True
17;656;156,829300570115;656;70;7;153,5;True
18;656;123,06387488395;656;70;7;153,5;True
19;656;161,90173648335;656;70;7;153,5;True
20;656;162,862504895777;656;70;7;153,5;True
21;656;110,382141321898;656;70;7;153,5;True
22;656;160,192122441344;656;70;7;153,5;True
23;656;150,375125886872;656;70;7;153,5;True
24;656;135,069202553853;656;70;7;153,5;True
25;656;151,899424857274;656;70;7;153,5;True
26;656;89,7641654029489;656;70;7;153,5;True
27;656;130,218321633339;656;70;7;153,5;True
28;656;98,28173940368;656;70;7;153,5;True
29;656;122,832859840244;656;70;7;153,5;True
30;656;136,368821185827;656;70;7;153,5;True
