Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;197,513656616211;-20,5825313568115;408,5846;42,89844;7;126,5;False
2;222,523834228516;-19,6889140129089;479,0626;51,64441;7;126,5;False
3;210,757141113281;-45,8742154359818;442,937;46,98427;7;126,5;False
4;178,962890625;-30,4744097709656;373,513;39,49884;7;126,5;False
5;194,8662109375;-39,2423277139664;408,0139;43,20169;7;126,5;False
6;223,342468261719;-45,5371466636658;479,0382;51,50922;7;126,5;False
7;196,72151184082;-61,9840087175369;408,3716;42,98154;7;126,5;False
8;197,102890014648;-35,1918691635132;408,5299;42,95142;7;126,5;False
9;192,801467895508;-24,4926636695862;407,9872;43,51364;7;126,5;False
10;214,478302001953;-38,899142074585;443,0887;46,43195;7;126,5;False
11;194,803833007813;-43,9939588546753;408,1264;43,23126;7;126,5;False
12;258,394256591797;-26,793545627594;549,7592;58,15717;6;133,5;False
13;252,087326049805;-20,0450356006622;550,1619;59,2619;6;133,5;False
14;261,166717529297;-9,55421180725098;548,3209;57,44421;6;133,5;False
15;262,631286621094;-41,1124270439148;548,4724;57,23431;6;133,5;False
16;231,093597412109;-25,9860683441162;478,8768;49,69696;6;133,5;False
17;237,445236206055;-36,8089465856552;514,8746;55,19537;6;133,5;False
18;273,633666992188;-4,85786504745483;587,7859;62,62134;6;133,5;False
19;231,314056396484;-33,7937490463257;478,4873;49,59241;6;133,5;False
20;230,537216186523;-45,4313823699951;477,5895;49,55347;6;133,5;False
21;235,638885498047;-32,213604259491;475,3425;48,35352;6;133,5;False
22;252,869049072266;-49,7736389160156;550,8833;59,26599;6;133,5;False
23;231,344421386719;-12,5019477367401;478,7562;49,63586;6;133,5;False
24;276,58984375;-36,6093505859375;623,433;68,7196;6;133,5;False
25;258,195159912109;-26,0930936336517;551,0878;58,43225;6;133,5;False
26;2251,31323242188;103,249093770981;656;73,65613;6;133,5;True
27;1897,16467285156;71,4982387542725;550,0631;60,08435;6;133,5;True
28;1650,7470703125;48,0445247650147;477,1884;51,2793;6;133,5;True
29;2025,30798339844;46,6375288963318;587,465;64,34277;6;133,5;True
30;2255,09057617188;293,430042648315;656;70,08582;8;168;True
