Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;71,2457046508789;-71,2368144035339;220,4576;27,58222;6;134,5;False
2;105,020004272461;-38,0828973770142;232,6575;27,90146;8;93;False
3;105,475616455078;-53,934078502655;232,8254;27,86685;8;93;False
4;105,378227233887;-32,0620367050171;232,6708;27,85332;8;93;False
5;105,455215454102;-3,96085743904114;232,8251;27,86967;8;93;False
6;105,309364318848;-16,8754400253296;232,673;27,8634;8;93;False
7;105,488090515137;-10,8347603321075;232,8241;27,86487;8;93;False
8;105,45768737793;-26,7481938123703;232,8244;27,8692;8;93;False
9;105,399368286133;-51,9787610292435;232,8284;27,87811;8;93;False
10;105,379211425781;-25,1914334058762;232,6687;27,85281;8;93;False
11;105,29248046875;-44,2269505500793;232,673;27,86578;8;93;False
12;105,440948486328;-29,4670866966248;232,6729;27,84485;8;93;False
13;105,487579345703;-2,35244727134705;233,001;27,89612;8;93;False
14;105,333023071289;-26,4726346969604;232,4862;27,82715;8;93;False
15;105,484115600586;-29,0324059486389;232,8255;27,86566;8;93;False
16;105,466552734375;-10,5666823625565;232,6667;27,84015;8;93;False
17;105,574012756348;-8,51006565093994;233,0022;27,88416;8;93;False
18;105,521453857422;-25,1452882766724;232,8266;27,8606;8;93;False
19;105,720924377441;-4,22943053245544;233,066;27,87469;8;93;False
20;105,585220336914;-28,8395391941071;233,0126;27,8844;8;93;False
21;105,476531982422;-15,6566836118698;232,7553;27,85437;8;93;False
22;105,525215148926;-17,9737602233887;232,8247;27,85974;8;93;False
23;105,492576599121;-26,01412525177;232,8208;27,86365;8;93;False
24;105,408149719238;-40,5662699699402;232,6737;27,84961;8;93;False
25;105,498825073242;-30,7626274108887;232,8292;27,86426;8;93;False
26;105,431701660156;-2,55993852615356;232,8268;27,87329;8;93;False
27;105,429244995117;-32,324285364151;232,7937;27,8678;8;93;False
28;105,448028564453;-56,9727975845337;232,6702;27,84338;8;93;False
29;105,514144897461;-23,0999351739883;232,8256;27,86145;8;93;False
30;105,397583007813;-38,5459745407104;232,8252;27,87781;8;93;False
