Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;503,29345703125;90,2886807207018;238,8159;28,95497;7;138;False
2;510,137634277344;55,2795382856857;239,0367;28,96159;7;138;False
3;896,18310546875;63,9882679799572;251,4898;34,39997;8;244,5;False
4;2392,65478515625;95,2780213383026;1739,763;74,70789;8;281;False
5;1955,646484375;113,069061872736;1725,666;82,04456;8;281;False
6;1723,05285644531;139,124187193532;278,163;12,73041;8;281;False
7;892,5048828125;148,055322007812;251,3711;34,25125;8;244,5;False
8;905,814270019531;103,367881260812;251,8005;34,43976;8;244,5;False
9;3181,10009765625;154,563314954843;1405,197;56,67908;8;281;False
10;3531,56811523438;205,586360289902;336,5022;11,70648;8;281;False
11;976,594543457031;125,575262962841;254,0837;36,73627;8;201;False
12;1027,58544921875;127,381742519885;255,7286;37,47943;8;201;False
13;977,110595703125;120,243670883402;254,1003;35,94226;8;201;False
14;976,998474121094;115,943366371188;254,0967;35,94141;8;201;False
15;976,957824707031;121,598519193567;254,0954;35,97681;8;201;False
16;979,738708496094;114,607290781545;254,1851;36,00134;8;201;False
17;976,955932617188;149,370594926178;254,0954;35,95514;8;201;False
18;976,993774414063;121,096822092868;254,0966;35,97736;8;201;False
19;978,256713867188;113,685620380752;254,1373;35,90405;8;201;False
20;975,871276855469;116,35545927994;254,0604;37,16003;8;201;False
21;1064,80517578125;131,43722783532;2416,929;47,61365;8;281;False
22;3957,1474609375;187,176527021779;350,2306;11,72302;8;281;False
23;1026,91040039063;113,68907534352;255,7068;36,94055;8;201;False
24;978,698547363281;112,484941495629;254,1516;36,63318;8;201;False
25;2415,36083984375;160,623267502338;300,4955;8,337158;8;281;False
26;976,273803710938;106,820801944658;254,0733;36,00488;8;201;False
