Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;440,614196777344;72,3142841938883;236,794;28,63268;7;117;False
2;443,625;41,7025216249749;236,8911;28,57399;7;117;False
3;447,201507568359;43,4689893912757;237,0065;28,54485;7;117;False
4;545,942138671875;52,5077130555175;240,1917;28,75899;8;205;False
5;1026,19616699219;71,9267813298851;255,6837;16,83105;8;281;False
6;686,965209960938;53,365187856555;244,7408;32,27594;8;205;False
7;1582,15356445313;81,9353952779435;273,6179;10,66367;8;281;False
8;716,042846679688;68,8734268342145;245,6788;32,82526;8;184,5;False
9;821,476257324219;69,9508735792711;249,0799;33,76495;8;205;False
10;3751,12426757813;115,19513781846;343,5847;18,55054;8;280,5;False
11;764,158264160156;83,8175628982484;247,2309;33,93579;8;184,5;False
12;756,542602539063;69,5924002392217;246,9852;33,51385;8;184,5;False
13;1349,40014648438;90,3941034368705;266,1097;24,21826;8;272;False
14;826,865905761719;103,446275368333;249,2537;34,83295;8;185,5;False
15;826,413208007813;100,245446266234;249,2391;82,05914;8;185,5;False
16;814,780151367188;115,48535901953;248,8639;34,64917;8;185,5;False
17;842,85546875;115,536967228027;249,7695;34,94171;8;154;False
18;852,798889160156;105,771561748162;250,0903;35,05493;8;154;False
19;1424,60876464844;164,936086441879;268,5358;7,843994;8;281;False
20;840,829956054688;108,993035086925;249,7042;34,67371;8;152;False
21;880,117309570313;118,343609220907;250,9715;34,55322;8;264,5;False
22;1338,08447265625;173,483455973864;265,7447;9,742432;8;281;False
23;3366,32055664063;167,317084763385;331,1716;17,06653;8;281;False
24;854,801635742188;131,06500206273;250,1549;34,85242;8;152;False
25;856,863098144531;129,25473962496;250,2214;34,85449;8;152;False
26;856,869689941406;133,888276188169;250,2216;34,2439;8;264,5;False
27;852,8759765625;120,855088229349;250,0928;34,98547;8;154;False
28;906,3076171875;134,888639351353;251,8164;34,84558;8;264,5;False
29;856,446350097656;121,181019054726;250,2079;35,00696;8;154;False
30;2779,97802734375;159,96619085921;312,2574;15,36438;8;281;False
31;940,027526855469;163,787800514326;252,9041;37,44849;8;250,5;False
32;1025,41186523438;125,860114537831;255,6584;39,48169;8;250,5;False
33;951,746643066406;132,35826353915;253,2822;37,42273;8;250,5;False
34;1025,44494628906;146,272350872681;255,6595;39,30969;8;250,5;False
35;1025,43884277344;143,053794189403;255,6593;39,55957;8;250,5;False
36;1023,82727050781;146,340078616142;255,6073;38,05029;8;250,5;False
37;1024,37121582031;165,298502759635;255,6249;39,11499;8;250,5;False
38;2445,3203125;160,280234622117;301,4619;14,02295;8;281;False
39;949,950561523438;131,367016879097;253,2242;37,36279;8;250,5;False
40;1024,03771972656;158,261743039219;255,6141;38,83081;8;250,5;False
41;951,298217773438;139,054289169423;253,2677;37,39185;8;250,5;False
42;1024,56372070313;147,359603287186;255,6311;39,15356;8;250,5;False
43;1023,98620605469;121,131838659942;255,6125;38,42383;8;250,5;False
44;1023,6796875;140,577405338828;255,6026;38,02124;8;250,5;False
45;1023,98620605469;160,459602091822;255,6125;38,4353;8;250,5;False
46;1023,60162353516;151,999548432231;255,6001;38,02759;8;250,5;False
47;1025,41186523438;190,615946513414;255,6584;39,45215;8;250,5;False
48;1025,20471191406;157,930460197479;255,6518;39,83276;8;250,5;False
49;1025,19567871094;146,851496151183;255,6515;39,31494;8;250,5;False
50;1024,44458007813;153,038576920051;255,6272;38,91211;8;250,5;False
51;1037,76147460938;150,266868678294;256,0568;13,66089;8;281;False
52;950,661071777344;166,000290328823;253,2471;37,35181;8;250,5;False
53;1024,63464355469;168,436207129341;255,6334;39,14355;8;250,5;False
54;1024,84851074219;176,217325776815;255,6403;39,03809;8;250,5;False
55;1024,39721679688;201,351609498076;255,6257;38,729;8;250,5;False
56;1024,28564453125;181,04300108389;255,6221;40,09741;8;250,5;False
57;1024,23400878906;159,727352645062;255,6205;38,68799;8;250,5;False
58;1025,40808105469;145,297106510215;255,6583;39,51587;8;250,5;False
59;1046,21350097656;203,96038921047;256,3295;32,28418;8;250,5;False
60;1046,16711425781;190,92648197012;256,328;100,0723;8;250,5;False
