Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;76,5362701416016;57,2459316253662;227,5294;36,79813;5;157;False
2;74,7292785644531;56,5240494537354;232,7054;28,50942;6;123;False
3;74,5600051879883;55,1122607803345;231,8848;27,43303;6;129;False
4;79,5557708740234;58,8895300674439;228,7469;28,07671;4;147,5;False
5;79,1020355224609;56,6684636688232;223,4828;40,15102;4;142,5;False
6;77,2075500488281;56,8731921005249;239,1114;28,70212;5;190,5;False
7;76,7258148193359;56,3330003356934;227,608;39,56238;5;144,5;False
8;76,6566467285156;58,8691649627686;225,6808;26,8855;5;136;False
9;74,7928924560547;56,9711659240723;237,5567;28,88904;6;152;False
10;74,6091003417969;55,423395576477;233,1752;30,02252;6;134,5;False
11;77,0635223388672;57,8521873092651;229,0228;28,71399;5;131;False
12;75,8391342163086;56,6660333633423;212,5638;29,99219;5;102;False
13;74,9995498657227;57,7735082244873;238,3878;30,4151;6;143,5;False
14;76,8511352539063;57,5065979766846;225,4455;35,21234;5;121;False
15;77,1753158569336;54,5978525924683;225,2715;31,24664;5;97,5;False
16;74,3939819335938;58,1800228118897;228,0444;32,6452;6;114;False
17;75,3691711425781;58,0680477142334;245,209;31,7605;6;165;False
18;77,1090469360352;56,9797724914551;231,5856;30,52405;5;145,5;False
19;75,4459457397461;57,0808983230591;239;28,90344;6;117;False
20;73,6162414550781;55,5049560165405;222,3745;25,44604;6;128,5;False
21;76,8493804931641;56,3260697174072;230,4424;29,94739;5;155,5;False
22;77,9271011352539;57,3405185699463;229,4464;36,99719;5;74,5;False
23;82,0484008789063;58,7077662277222;242,4814;30,47131;4;70,5;False
24;81,2103118896484;58,2695582199097;231,8705;28,22644;3;136;False
25;78,1676330566406;56,186482925415;230,4709;27,07129;5;65;False
26;75,1276702880859;58,4142378616333;234,2911;28,22449;6;106,5;False
27;79,0265045166016;56,2675532913208;250,6149;34,3114;5;144,5;False
28;77,7159729003906;58,396919631958;229,2246;28,36292;5;87,5;False
29;78,1412353515625;56,3838455200195;232,3872;30,93787;5;80;False
30;79,0129318237305;59,1875434494019;220,6296;38,78687;4;129;False
