Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;71,4196166992188;45,512857208252;236,1982;28,48404;8;117,5;False
2;71,4171142578125;39,2109341430664;236,1815;28,38155;8;117,5;False
3;71,4250793457031;40,5840414428711;236,2346;28,38937;8;117,5;False
4;71,4229049682617;39,4485589599609;236,22;28,38469;8;117,5;False
5;71,4399642944336;39,9633325958252;236,3338;28,40707;8;117,5;False
6;71,4253463745117;39,6891910934448;236,2363;28,41113;8;117,5;False
7;71,4648818969727;40,7799471282959;236,4999;28,43915;8;117,5;False
8;71,4239120483398;40,8201642990112;236,2268;28,4248;8;117,5;False
9;71,4269104003906;39,5562187957764;236,2467;28,36481;8;117,5;False
10;71,6147003173828;41,274169960022;238,2732;29,13586;7;142,5;False
11;71,4649810791016;39,8774921417236;236,5005;28,44464;8;117,5;False
12;71,4576034545898;40,2560664749145;248,8135;34,28619;8;252;False
13;71,4357070922852;41,1813034057617;248,6676;37,08142;8;252;False
14;72,0459899902344;42,0703090667725;247,7729;33,95392;8;198;False
15;72,0571670532227;40,6290595626831;247,8474;33,90338;8;198;False
16;72,3020248413086;41,5409210205078;250,7206;34,96747;8;211,5;False
17;72,6749725341797;41,0561097717285;253,2069;35,59357;8;211,5;False
18;72,6838150024414;41,8628888320923;253,2659;35,36572;8;211,5;False
19;72,3226013183594;41,0471054077148;250,8577;34,94012;8;211,5;False
20;72,6832656860352;39,8966445159912;253,2622;35,3587;8;211,5;False
21;72,6575622558594;40,5256653594971;253,0908;35,56433;8;211,5;False
22;72,6751403808594;40,5323023986816;253,208;35,57581;8;211,5;False
23;72,6753921508789;41,1369917678833;253,2097;35,57507;8;211,5;False
24;73,5245513916016;41,2998297119141;263,0527;38,62976;8;257;False
25;73,5245513916016;40,8096319198608;263,0527;47,09021;8;257;False
26;73,4555435180664;40,446050567627;262,5927;39,95789;8;257;False
27;73,5475692749023;42,4065500259399;263,2062;44,77649;8;257;False
28;94,0666427612305;40,7501607894897;360;51,40637;8;257;True
29;94,0666427612305;40,8934371185303;262,4604;45,0166;8;257;True
30;94,0666427612305;41,0534104156494;263,1989;40,14368;8;257;True
