Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;87,751106262207;46,8888557720184;343,4663;48,80076;8;100;False
2;74,5198669433594;37,1429642963409;271,8941;5,100006;8;281;False
3;72,7871704101563;38,9557140350342;243,2101;30,09999;6;145,5;False
4;80,3530807495117;37,3325816822052;310,7821;11,69998;8;281;False
5;79,1301574707031;39,6335042095184;302,6293;15,20001;8;281;False
6;73,2204055786133;40,6459999752045;245,8226;32,90002;6;142,5;False
7;73,2920532226563;39,5993672561645;246,3002;33,19995;6;142,5;False
8;73,7009658813477;40,3616578960419;250,8646;34,90002;6;162,5;False
9;73,9874725341797;39,7099580955505;268,3448;12,5;8;281;False
10;76,1711502075195;40,3465096569061;282,9026;13;8;281;False
11;77,8391036987305;41,563001203537;294,0223;20,8999;8;281;False
12;87,3938674926758;41,0257687854767;357,7207;9,400024;8;281;False
13;74,8581848144531;40,1966582679749;252,0536;35,40002;6;91,5;False
14;74,7760162353516;42,0171298599243;251,5058;35;6;91,5;False
15;74,7278442382813;40,6922985935211;251,1847;35,69995;6;91,5;False
16;83,6694030761719;41,3388977527618;332,891;18,70007;8;281;False
17;81,1189117431641;41,5350784111023;315,8877;6;8;281;False
18;76,1680221557617;40,8366390705109;282,8817;7,299805;8;281;False
19;82,441780090332;43,6738222789764;324,7068;18,1001;8;281;False
20;79,3990707397461;42,4574722957611;304,4221;13,09985;8;281;False
21;78,186149597168;43,8520345973969;296,3359;16,1001;8;281;False
22;83,7879180908203;42,331893453598;333,6811;17;8;281;False
23;79,5487594604492;42,2880233478546;305,42;79,3999;8;281;False
24;74,8060913085938;42,1207039546967;251,7063;35,30005;6;91,5;False
25;77,1977005004883;40,2988161849976;289,7463;12,69995;8;281;False
26;74,8027725219727;40,7044480323791;251,6842;35,19995;6;91,5;False
27;74,7682952880859;40,1661218070984;251,4543;35,69995;6;91,5;False
28;74,7402038574219;40,7571189212799;251,2671;35;6;91,5;False
29;82,277099609375;40,8580861568451;323,6089;18,1001;8;281;False
30;82,1349182128906;41,886600189209;322,661;7,899902;8;281;False
31;74,7185974121094;41,6215757083893;251,123;35;6;91,5;False
32;91,6837005615234;41,8436574840546;386,3196;16;8;281;False
33;85,5855255126953;40,8206907081604;345,6651;186,7998;8;281;False
34;85,6534805297852;40,0644318580627;346,1181;18,59961;8;281;False
35;84,9144058227539;43,3968015766144;341,191;15,7998;8;281;False
36;74,8480529785156;40,1179768276215;251,9861;35,2998;6;91,5;False
37;74,7392883300781;41,1991128540039;251,261;35,69971;6;91,5;False
38;74,7409362792969;41,4684738826752;251,2719;35,69971;6;91,5;False
39;74,7766876220703;41,5267162036896;251,5103;35;6;91,5;False
40;74,7704849243164;42,4466282749176;251,4689;35,7002;6;91,5;False
41;85,0512313842773;42,0567941474915;340,3568;10,5;8;262;False
42;84,6366500854492;44,0115439033508;339,3392;21,7998;8;281;False
43;79,9020614624023;42,6901525688171;307,7753;61,1001;8;281;False
44;74,7765197753906;42,6137514686585;251,5091;35;6;91,5;False
45;74,80126953125;42,2027287483215;248,9983;33,7002;5;113,5;False
46;74,7757110595703;41,8004187870026;251,5038;35;6;91,5;False
47;74,7757186889648;41,2806174468994;251,5038;35;6;91,5;False
48;74,7799301147461;41,6463506412506;251,5319;35;6;91,5;False
49;88,0702056884766;42,6489737606049;362,2296;16,1001;8;281;False
50;74,8056411743164;43,3203576183319;251,7033;35,30029;6;91,5;False
